id,ism,familiya,otasining_ismi,tugilgan_sana,jins,email,telefon,shahar,manzil,passport_seriya,jshshir,millat,oilaviy_holat,ish_joyi,lavozim,ta'lim_darajasi,daromad,foydalanuvchi_turi,ro'yxatdan_o'tgan_sana
1,Malika,Aliyeva,Islom,1964-07-21,Ayol,kostinamarfa@mail.ru,+7 542 379 38 10,Namangan,"бул. Отрадный, д. 3/6 к. 78",AB4341872,10649989139993,Tojik,Turmush qurgan,NBU,Dasturchi,Bakalavr,23210180.0,premium,2025-01-29
2,Jahongir,Karimov,Dilnoza,1986-04-18,Erkak,tverdislav_90@pk.org,+7 (141) 566-19-86,Jizzax,"наб. Совхозная, д. 9/4 к. 9",AD2784701,86143385905084,Rus,Uylanmagan,Yandex,Muhandis,Magistr,27469821.0,premium,2020-04-19
3,Dilnoza,Karimova,Baxtiyor,2001-01-08,Ayol,vadim_71@segezha.net,+7 (622) 920-44-43,Toshkent,"пр. Глинки, д. 8/7 стр. 1/4",AE2426338,73674236843290,Qozoq,Uylanmagan,EPAM,Operator,Oliy,2109241.0,oddiy,2022-06-24
4,Baxtiyor,Karimov,,1994-03-10,Erkak,martin_42@lenta.info,+7 846 758 87 89,Toshkent,"алл. Главная, д. 6 стр. 177",AC5999284,43290101841515,Tojik,Ajrashgan,Yandex,Hisobchi,O‘rta maxsus,9367159.0,premium,2023-05-09
5,Zafar,Turaev,Aziza,1963-07-18,Erkak,vlas_1991@rambler.ru,83341118191,Toshkent,"ул. Промышленная, д. 4/4",AC4128026,97730220244119,Qirg'iz,Ajrashgan,Artel,Muhandis,Bakalavr,6621448.0,admin,2022-05-28
6,Aziza,Raximova,Sherzod,1985-06-05,Ayol,lpetrov@pervi.org,,Jizzax,"пр. Городской, д. 8 к. 3/7",AE6836077,45917453276605,O'zbek,Uylanmagan,EPAM,O‘qituvchi,O‘rta maxsus,22135352.0,admin,
7,Nilufar,Yusupova,Aziz,1964-01-28,Ayol,dmitrievandronik@mail.ru,+77994920839,Buxoro,"пер. Камский, д. 551",AA1492260,75914626501585,Qozoq,Turmush qurgan,Ucell,Menejer,Magistr,14504001.0,premium,2021-09-01
8,Sherzod,Nazarov,Oybek,2003-08-23,Erkak,ivanjakovlev@yahoo.com,,Buxoro,"наб. Почтовая, д. 67 к. 656",AA2244434,91320290614138,Turkman,Ajrashgan,Beeline,,Bakalavr,13891983.0,admin,2022-12-14
9,Ziyoda,Raximova,Aziza,1958-09-27,Ayol,kasjan_2003@npf.ru,+75705077198,Termiz,"бул. Черемуховый, д. 30",AE9012659,18981675725215,,Ajrashgan,O‘zbekiston Temir Yo‘llari,Hisobchi,,11699287.0,admin,2021-03-03
10,Oybek,Yusupov,Malika,1968-12-13,Erkak,anisim_11@rambler.ru,+7 (719) 645-5143,Farg‘ona,"наб. Некрасова, д. 1",AB2713992,,Tojik,Uylanmagan,UZTELECOM,Hisobchi,Oliy,9942292.0,oddiy,2024-04-15
